Wed Nov 28 19:14:18 2018
HotelID,ReviewID,Upload Status
72572,UR126946257,Success
72572,UR126795011,Success
72572,UR126715331,Success
72572,UR126585393,Success
72572,UR126067021,Success
72572,UR125893357,Success
72572,UR125344427,Success
72572,UR125099396,Success
72572,UR124738305,Success
72572,UR124685478,Success
72572,UR124359517,Success
72572,UR124231798,Success
72572,UR123915604,Success
72572,UR123521901,Success
72572,UR123449316,Success
72572,UR123184136,Success
72572,UR122179928,Success
72572,UR121958827,Success
72572,UR121926784,Success
72572,UR121769680,Success
72572,UR121442023,Success
72572,UR121212371,Success
72572,UR121068100,Success
72572,UR120710665,Success
72572,UR120028318,Success
72572,UR119966867,Success
72572,UR119772887,Success
72572,UR119762683,Success
72572,UR119438901,Success
72572,UR119331634,Success
72572,UR119302229,Success
72572,UR119190209,Success
72572,UR118466848,Success
72572,UR118396152,Success
72572,UR118292052,Success
72572,UR118249428,Success
72572,UR117813480,Success
72572,UR117727767,Success
72572,UR117564760,Success
72572,UR117518809,Success
72572,UR117145741,Success
72572,UR117059155,Success
72572,UR117057370,Success
72572,UR117046709,Success
72572,UR116723969,Success
72572,UR116682063,Success
72572,UR116620912,Success
72572,UR116399174,Success
72572,UR115997058,Success
72572,UR115932875,Success
72572,UR115845645,Success
72572,UR115801249,Success
72572,UR115310703,Success
72572,UR114909363,Success
72572,UR114877841,Success
72572,UR114714820,Success
72572,UR113868520,Success
72572,UR112804165,Success
72572,UR112730613,Success
72572,UR112490573,Success
72572,UR110381164,Success
72572,UR107742340,Success
72572,UR107722292,Success
72572,UR107188978,Success
72572,UR105891420,Success
72572,UR105618345,Success
72572,UR105520997,Success
72572,UR103380525,Success
72572,UR102448656,Success
72572,UR102162989,Success
72572,UR102097677,Success
72572,UR101971000,Success
72572,UR100556765,Success
72572,UR98844995,Success
72572,UR98149970,Success
72572,UR97977252,Success
72572,UR94272704,Success
72572,UR93896196,Success
72572,UR93268383,Success
72572,UR93122959,Success
72572,UR90401967,Success
72572,UR90399203,Success
72572,UR89467157,Success
72572,UR88889428,Success
72572,UR88308374,Success
72572,UR87813760,Success
72572,UR86663773,Success
72572,UR86285291,Success
72572,UR84843008,Success
72572,UR83255269,Success
72572,UR81984198,Success
72572,UR81757663,Success
72572,UR80093468,Success
72572,UR79923480,Success
72572,UR79833598,Success
72572,UR79771220,Success
72572,UR78701993,Success
72572,UR78697533,Success
72572,UR78250190,Success
72572,UR77864536,Success
72572,UR77034369,Success
72572,UR75840854,Success
72572,UR75232189,Success
72572,UR75110642,Success
72572,UR74822204,Success
72572,UR72058597,Success
72572,UR72051323,Success
72572,UR69788709,Success
72572,UR68688811,Success
72572,UR68319608,Success
72572,UR68275846,Success
72572,UR67947169,Success
72572,UR66794932,Success
72572,UR66592895,Success
72572,UR66400091,Success
72572,UR65502933,Success
72572,UR62622217,Success
72572,UR62590374,Success
72572,UR61907793,Success
72572,UR58975130,Success
72572,UR57675973,Success
72572,UR54480505,Success
72572,UR54212705,Success
72572,UR54196518,Success
72572,UR53141328,Success
72572,UR53095119,Success
72572,UR51462574,Success
72572,UR50711451,Success
72572,UR49461401,Success
72572,UR48855717,Success
72572,UR48499895,Success
72572,UR48131043,Success
72572,UR47531927,Success
72572,UR47335050,Success
72572,UR47175081,Success
72572,UR46768714,Success
72572,UR46686355,Success
72572,UR46594095,Success
72572,UR46578869,Success
72572,UR46469312,Success
72572,UR45918867,Success
72572,UR45878052,Success
72572,UR45692425,Success
72572,UR45618413,Success
72572,UR42810460,Success
72572,UR40155734,Success
72572,UR39961071,Success
72572,UR39807465,Success
72572,UR38078683,Success
72572,UR37697241,Success
72572,UR37672870,Success
72572,UR37472726,Success
72572,UR36099530,Success
72572,UR35698438,Success
72572,UR35678104,Success
72572,UR35362925,Success
72572,UR34965882,Success
72572,UR34843248,Success
72572,UR34558236,Success
72572,UR34227461,Success
72572,UR34014985,Success
72572,UR33823165,Success
72572,UR33722742,Success
72572,UR32973020,Success
72572,UR32610015,Success
72572,UR32567918,Success
72572,UR32559126,Success
72572,UR32399840,Success
72572,UR31349745,Success
72572,UR31281633,Success
72572,UR30476845,Success
72572,UR30040890,Success
72572,UR29625915,Success
72572,UR29528008,Success
72572,UR29429988,Success
72572,UR28864306,Success
72572,UR27779422,Success
72572,UR27650755,Success
72572,UR27504620,Success
72572,UR26706141,Success
72572,UR26461644,Success
72572,UR26291170,Success
72572,UR25603896,Success
72572,UR25510712,Success
72572,UR25099987,Success
72572,UR24810622,Success
72572,UR24645265,Success
72572,UR24378555,Success
72572,UR24227374,Success
72572,UR23990702,Success
72572,UR23978245,Success
72572,UR23917426,Success
72572,UR23327047,Success
72572,UR23019582,Success
72572,UR22725550,Success
72572,UR22345881,Success
72572,UR22191585,Success
72572,UR21980886,Success
72572,UR21875789,Success
72572,UR21830676,Success
72572,UR21363300,Success
72572,UR20966802,Success
72572,UR20808894,Success
72572,UR20751748,Success
72572,UR20738575,Success
72572,UR20711185,Success
72572,UR20224254,Success
72572,UR20096218,Success
72572,UR19966064,Success
72572,UR19964551,Success
72572,UR19963111,Success
72572,UR19318235,Success
72572,UR16974884,Success
72572,UR16088519,Success
72572,UR14633401,Success
72572,UR14151478,Success
72572,UR12277141,Success
72572,UR11630625,Success
72572,UR11326617,Success
72572,UR10697853,Success
72572,UR10441624,Success
72572,UR10287611,Success
72572,UR10011872,Success
72572,UR8607866,Success
72572,UR7626327,Success
72572,UR7419517,Success
72572,UR7375345,Success
72572,UR6907647,Success
72572,UR6121777,Success
72572,UR6029838,Success
72572,UR5921237,Success
72572,UR5822701,Success
72572,UR5767903,Success
72579,UR126815874,Success
72579,UR126659040,Success
72579,UR126009973,Success
72579,UR125871288,Success
72579,UR124984505,Success
72579,UR124319966,Success
72579,UR124234999,Success
72579,UR123992579,Success
72579,UR122881046,Success
